Metric,Portfolio,2014,2015,2016,2017,2018,Avg,2019,2020,Avg,2021,2022,Avg
Sharpe,GNN (Pearson),1.59,0.58,0.92,2.77,-0.22,1.13,2.65,1.0,1.82,1.96,-0.5,0.73
Sharpe,GNN (DCOR),1.47,0.45,1.15,3.29,0.44,1.36,3.13,1.16,2.15,1.7,-0.53,0.58
Sharpe,GNN (Quantile q=.1),1.58,0.41,1.12,3.25,0.16,1.3,2.77,1.05,1.91,1.82,-0.48,0.67
Sharpe,GNN (Quantile q=.2),1.56,0.39,1.05,3.3,0.09,1.28,2.69,1.06,1.87,1.87,-0.4,0.73
Sharpe,GNN (Handcrafted),1.95,0.66,0.96,3.47,0.41,1.49,2.92,1.14,2.03,1.87,-0.47,0.7
Sharpe,S&P500 equally,1.53,0.24,1.18,3.06,-0.24,1.15,2.37,0.63,1.5,2.17,-0.35,0.91
Sortino,GNN (Pearson),2.09,0.84,1.24,4.0,-0.29,1.58,3.52,1.09,2.3,2.87,-0.82,1.02
Sortino,GNN (DCOR),2.01,0.66,1.52,4.75,0.59,1.91,4.15,1.25,2.7,2.53,-0.89,0.82
Sortino,GNN (Quantile q=.1),2.09,0.59,1.55,4.83,0.22,1.85,3.77,1.13,2.45,2.69,-0.79,0.95
Sortino,GNN (Quantile q=.2),2.09,0.55,1.39,4.7,0.12,1.77,3.68,1.15,2.42,2.76,-0.66,1.05
Sortino,GNN (Handcrafted),2.58,0.97,1.33,5.19,0.54,2.12,4.09,1.23,2.66,2.76,-0.78,0.99
Sortino,S&P500 equally,2.02,0.34,1.52,4.34,-0.3,1.58,3.01,0.73,1.87,3.15,-0.57,1.29
MDD,GNN (Pearson),-0.08,-0.14,-0.19,-0.05,-0.4,-0.17,-0.09,-0.54,-0.31,-0.09,-0.26,-0.17
MDD,GNN (DCOR),-0.09,-0.16,-0.23,-0.07,-0.36,-0.18,-0.07,-0.61,-0.34,-0.1,-0.28,-0.19
MDD,GNN (Quantile q=.1),-0.08,-0.14,-0.2,-0.05,-0.41,-0.18,-0.07,-0.56,-0.31,-0.09,-0.25,-0.17
MDD,GNN (Quantile q=.2),-0.1,-0.16,-0.22,-0.04,-0.38,-0.18,-0.07,-0.54,-0.3,-0.1,-0.25,-0.17
MDD,GNN (Handcrafted),-0.09,-0.16,-0.22,-0.07,-0.44,-0.2,-0.07,-0.59,-0.33,-0.09,-0.26,-0.17
MDD,S&P500 equally,-0.09,-0.14,-0.18,-0.04,-0.39,-0.17,-0.07,-0.54,-0.31,-0.08,-0.27,-0.17
Calmar,GNN (Pearson),2.31,0.62,0.69,4.68,-0.09,1.64,3.95,0.64,2.29,2.95,-0.46,1.25
Calmar,GNN (DCOR),2.09,0.42,0.75,4.2,0.19,1.53,5.6,0.68,3.14,2.28,-0.46,0.91
Calmar,GNN (Quantile q=.1),2.39,0.44,0.82,5.25,0.06,1.79,5.19,0.67,2.93,2.75,-0.46,1.14
Calmar,GNN (Quantile q=.2),1.98,0.38,0.73,6.05,0.04,1.84,4.93,0.69,2.81,2.59,-0.4,1.09
Calmar,GNN (Handcrafted),2.67,0.61,0.63,4.6,0.15,1.73,5.41,0.68,3.04,2.68,-0.44,1.12
Calmar,S&P500 equally,2.01,0.26,0.95,5.22,-0.1,1.67,3.97,0.45,2.21,3.58,-0.3,1.64
