ticker,volume,category
AAA,1687,Ultrashort Bond
AADR,7744,Foreign Large Growth
AAPB,9493,Trading--Leveraged Equity
AAPD,55019,Trading--Inverse Equity
AAPU,81302,Trading--Leveraged Equity
AAXJ,448697,Pacific/Asia ex-Japan Stk
ABEQ,1013,Large Value
ACES,204228,Miscellaneous Sector
ACSI,13,Large Blend
ACTV,2129,Small Value
ACVF,28914,Large Blend
ACWX,800557,Foreign Large Blend
ADIV,27,Pacific/Asia ex-Japan Stk
ADME,53146,Long-Short Equity
ADPV,226,Large Blend
AEMB,825,Emerging Markets Bond
AESR,16593,Large Blend
AFIF,54719,Multisector Bond
AFK,4630,Miscellaneous Region
AFLG,405,Large Blend
AFMC,187,Mid-Cap Blend
AFSM,80,Small Blend
AFTY,135,China Region
AGG,5051777,Intermediate-Term Bond
AGGH,719,Intermediate-Term Bond
AGGY,53464,Intermediate-Term Bond
AGIH,0,Inflation-Protected Bond
AGNG,157,Health
AGOV,4,Emerging Markets Bond
AGOX,6813,Tactical Allocation
AGQ,496323,Trading--Leveraged Commodities
AGRH,70,Intermediate-Term Bond
AGZ,805928,Short Government
AGZD,41241,Nontraditional Bond
AHOY,1,Miscellaneous Sector
AHYB,363,High Yield Bond
AIA,18641,Pacific/Asia ex-Japan Stk
AIDB,1742,Large Blend
AIEQ,18596,Large Growth
AILG,228,Large Growth
AILV,17,Large Blend
AIQ,202265,Technology
AIRR,75055,Industrials
AIVI,1202,Foreign Large Value
AIVL,3024,Large Value
ALTL,125074,Large Value
ALTY,12231,Allocation--85%+ Equity
AMAX,6103,Nontraditional Bond
AMID,161,Mid-Cap Blend
AMLP,1037908,Energy Limited Partnership
AMOM,1269,Large Growth
AMPD,224,Managed Futures
AMZA,26700,Energy Limited Partnership
AMZD,9852,Trading--Inverse Equity
AMZU,115653,Trading--Leveraged Equity
ANEW,1246,Technology
ANGL,1038060,High Yield Bond
AOA,72127,World Allocation
AOK,100331,Allocation--30% to 50% Equity
AOM,80847,Allocation--30% to 50% Equity
AOR,194916,Allocation--50% to 70% Equity
AOTG,264,Technology
APIE,916,Foreign Large Blend
APMU,2424,Muni National Interm
APUE,1455,Large Blend
AQWA,43,Natural Resources
ARCM,3,Ultrashort Bond
ARGT,10973,Miscellaneous Region
ARKF,451796,Technology
ARKG,753695,Health
ARKK,9628538,Mid-Cap Growth
